# 08/03/2019 18:12:54
# NanoCalc data
# Original file name: C:\SVA_DATA\StudentProjects\2018_Nathan\PSswelling_080319\PSswelling2_943.dat
# Fit Result : Fitness; Thickness 1; Thickness 2; Thickness 3 
# Fit Result : 20.1610027769271; 2; 370; -1
# comment:PS ID:349 ref:withoptics.ref slowslow2 start 15:37
#
# WaveLength; Reflectance; Raw Intensity; Dark Intensity; Reference Intensity
400; 0.278384231165267; 4290.93466621466; 3869.39; 734.26
401; 0.258987434477735; 4407.30546712941; 4006.64; 746.92
402; 0.248083215833204; 4491.66893419815; 4085.87; 786.28
403; 0.240387193080099; 4588.90455960476; 4170.5; 833.19
404; 0.230551333325306; 4680.72669722215; 4276.9; 834.94
405; 0.224339831133158; 4833.72572174259; 4420.61; 874.39
406; 0.225811808337286; 4944.33905887761; 4512.32; 904.88
407; 0.22295681137378; 5053.59432059685; 4618.2; 920
408; 0.217844140947386; 5158.99031708654; 4719.05; 947.65
409; 0.206684667941132; 5250.93089874959; 4825.46; 962.39
410; 0.214229848993704; 5413.34716110847; 4957.25; 991.61
411; 0.212281182993379; 5505.6688032984; 5054.41; 986.6
412; 0.222080438257998; 5601.86270676747; 5122.07; 999.14
413; 0.21780105775995; 5679.26506507211; 5198.54; 1017.35
414; 0.222148358910074; 5827.04610830656; 5328.84; 1030.24
415; 0.222342023485928; 5918.07330524504; 5407.41; 1051.61
416; 0.217046347270154; 5981.9761079968; 5484.24; 1046.5
417; 0.220546908667008; 6070.83377204238; 5557.11; 1059.45
418; 0.22027726792152; 6216.39420433693; 5686.9; 1089.66
419; 0.225802977871063; 6323.19958218442; 5778.65; 1089.96
420; 0.23079907287523; 6440.94570258026; 5873.63; 1107.63
421; 0.228383608145359; 6571.51605446081; 5999.37; 1125.58
422; 0.227855422633132; 6743.30251617462; 6161.07; 1144.72
423; 0.229114287114772; 6877.6286632728; 6283.37; 1158.5
424; 0.229900742061437; 7023.28231228406; 6410.67; 1186.66
425; 0.224314122595963; 7171.86467668029; 6557.12; 1217.13
426; 0.235625435079986; 7429.20128416507; 6756.41; 1264.66
427; 0.239168815878386; 7601.31070508712; 6894.52; 1305.3
428; 0.242741898969113; 7768.17198926188; 7042.42; 1316.97
429; 0.24115111922785; 7912.8399237128; 7172.4; 1349.15
430; 0.252473582693605; 8154.72377430398; 7362.29; 1375.69
431; 0.251659206568285; 8308.71858085509; 7500.15; 1404.78
432; 0.256884986777792; 8450.34031485635; 7593.7; 1454.39
433; 0.264526969186464; 8586.57252952753; 7693.05; 1469.65
434; 0.27271514420453; 8784.57569510252; 7850.92; 1485.96
435; 0.274529641615367; 8902.78434823112; 7946.36; 1508.87
436; 0.275080714648551; 8999.38215528571; 8021.43; 1536.4
437; 0.281313359677383; 9134.00116288402; 8119.95; 1554.23
438; 0.29052398913392; 9351.45101224103; 8283.29; 1581.59
439; 0.2919034998406; 9446.23398698085; 8354.04; 1605.86
440; 0.300892441355164; 9586.62407896014; 8452.56; 1613.9
441; 0.302700923286669; 9697.24890212417; 8550.95; 1617.96
442; 0.312921096439611; 9911.83784201613; 8688.97; 1665.9
443; 0.31367460663999; 10032.3603184385; 8792.56; 1681.21
444; 0.319735936659476; 10208.2048745681; 8949.24; 1671.17
445; 0.328486097518892; 10382.0833335918; 9085.03; 1672.09
446; 0.328676903828984; 10594.4966899838; 9265.24; 1708.7
447; 0.331093674844539; 10813.7083474871; 9440.26; 1748.86
448; 0.33159104798643; 11007.0514174479; 9630.23; 1746.72
449; 0.335703396081047; 11336.1538300876; 9885.28; 1814.28
450; 0.334789551671728; 11541.3131792234; 10081.11; 1827.01
451; 0.339535546303129; 11768.3049287419; 10255.69; 1862.38
452; 0.340722213250651; 11989.2659198874; 10424.07; 1916.49
453; 0.343151758158809; 12365.4781686947; 10737.48; 1975.37
454; 0.345494244797241; 12643.202630528; 10963; 2020.88
455; 0.349388624776896; 12890.8252786056; 11156.94; 2058.18
456; 0.362369180901687; 13205.7846478893; 11369.12; 2098.01
457; 0.369610148571019; 13652.2789582889; 11721.72; 2157.98
458; 0.370795540334386; 13940.8742189704; 11971.21; 2190.45
459; 0.372028021211765; 14216.9304078741; 12197.34; 2234.36
460; 0.37114499325461; 14479.766194255; 12451.85; 2244.7
461; 0.377660473412976; 14902.7542291498; 12770.64; 2315.01
462; 0.375859241188656; 15136.0835154275; 12991.06; 2335.82
463; 0.374193839328321; 15363.062382061; 13180.57; 2382.87
464; 0.374301303916253; 15763.0078445431; 13511.27; 2453.29
465; 0.374112530132286; 16028.3413714011; 13729.67; 2501.36
466; 0.37199359833596; 16307.8157184207; 13965.54; 2558.83
467; 0.3771011667741; 16606.2815666303; 14207.98; 2580.21
468; 0.378310426322801; 17198.6951126278; 14678.16; 2698.49
469; 0.384404573622811; 17603.5114561912; 14993.1; 2745.87
470; 0.386934670848478; 18003.6524918243; 15322.49; 2797.27
471; 0.394938240672416; 18493.0031319892; 15732.43; 2817.13
472; 0.40246282826396; 19261.7686181473; 16372.18; 2888.96
473; 0.401994930289164; 19790.8612412907; 16816.37; 2972.52
474; 0.40271079476145; 20346.8277666393; 17311.54; 3023
475; 0.410120901168777; 21370.0328979037; 18143.65; 3150.22
476; 0.410452863852486; 22023.2120683884; 18682.99; 3253.44
477; 0.413144499296614; 22755.283786336; 19269.42; 3367.82
478; 0.414696228109775; 23580.6983830983; 19967.43; 3472.23
479; 0.412005786525695; 24790.7055740634; 20949.15; 3709.93
480; 0.407907560769629; 25597.941963926; 21691.29; 3804.75
481; 0.409987136616591; 26442.4195488459; 22361.32; 3948.55
482; 0.418333487434955; 27780.631926556; 23416.42; 4131.99
483; 0.41759056990634; 28608.3168643501; 24128.61; 4242.65
484; 0.420968126049452; 29449.107540835; 24824.01; 4338.71
485; 0.418893494763089; 30240.2710738409; 25545.04; 4419.68
486; 0.417591635518548; 31386.1027919634; 26517.16; 4590.47
487; 0.421747947081484; 32117.4449335887; 27144.88; 4634.96
488; 0.425798681788355; 32837.4453274286; 27734.19; 4704.39
489; 0.42605166956957; 33502.0215367236; 28301.4; 4784.45
490; 0.41913388045929; 34395.4519433737; 29129.5; 4917.45
491; 0.419933613857978; 34982.7699096753; 29620.01; 4991.8
492; 0.420047955131007; 35511.5123633755; 30076.82; 5050.77
